Project,ID,Name,Status,Power State,Networks,Flavor Name,Host,CPU,RAM
ADMIN,fa453ec4-5ec5-4839-aa3b-ae4413a04248,cirros-gti-r06-oscompute-61,ACTIVE,,Prod-Net=172.18.219.163; admin-net-prod=192.168.99.175,all-compute-test,gti-r06-oscompute-61,1, 256M
ADMIN,3acf4345-ca85-44ee-982f-01c68c24dc68,DNS-Cache-BRI,SHUTOFF,,Prod-Net=172.18.219.161,test-flavor-golden,gti-r06-oscompute-61,2, 2G
ADMIN,72cecebe-a6ce-4235-ae3e-7813a12158d3,cirros-gti-r06-oscompute-63,ACTIVE,,Prod-Net=172.18.218.158; admin-net-prod=192.168.99.5,all-compute-test,gti-r06-oscompute-63,1, 256M
ADMIN,3eca4af6-d0cd-450f-b44b-87dcd3e97950,cirros-gti-r06-oscompute-64,ACTIVE,,Prod-Net=172.18.223.44; admin-net-prod=192.168.99.236,all-compute-test,gti-r06-oscompute-64,1, 256M
ADMIN,f9784da8-1a28-434a-9654-67225693a6cf,btech-conntrack-kube-worker-2,ACTIVE,,admin-net-prod=192.168.99.106,standard-2-4,gti-r06-oscompute-65,2, 4G
ADMIN,9b61adda-72e0-4dc2-91bf-f78f0388bfbe,cirros-gti-r06-oscompute-65,ACTIVE,,Prod-Net=172.18.222.37; admin-net-prod=192.168.99.157,all-compute-test,gti-r06-oscompute-65,1, 256M
ADMIN,4fc6b2b0-a220-4f09-b6a9-4c205e82b0f8,hostbill,ACTIVE,,netowrk-internal-uat=192.168.199.145,hostbill,gti-r06-oscompute-65,8, 8G
ADMIN,4328fbc3-cb6a-4680-9680-cd3aa5c700e6,test-local-repo-8_JANGAN-DIAPUS,ACTIVE,,"admin-net-dev=192.168.88.34, 172.18.227.45",n2-highcpu-2-1s,gti-r06-oscompute-66,2, 2G
ADMIN,11dd4d74-2964-4ac0-8ed6-0cba769861b9,cirros-gti-r06-oscompute-67,ACTIVE,,Prod-Net=172.18.223.34; admin-net-prod=192.168.99.250,all-compute-test,gti-r06-oscompute-67,1, 256M
ADMIN,4352d319-0f0a-442f-86a6-d1d329f35bcc,cobacompute50,ERROR,,,c2-standard-2-1s,,2, 4G
ADMIN,f3776e53-adb8-4c7b-8a03-943d8fda9f6e,cobacompute16,ERROR,,,c2-standard-2-1s,,2, 4G
ADMIN,895f0dff-7e93-44e2-a7e1-3bd1c1020c04,ceria-reserved-64,ERROR,,,dedicated-8-16-1s,,8, 16G
ADMIN,3284b0c5-9618-415b-bc78-57777242f4e0,coba-instance1,ERROR,,,coba-flavor,,2, 2G
ADMIN,5b87ba42-7e77-46d4-8b74-c60f3837a4c9,cirros-gti-r06-oscompute-66,ERROR,,,all-compute-test,,1, 256M
ADMIN,526819b2-c37d-4da4-a851-9d5be6e450e8,cirros-gti-r06-oscompute-62,ERROR,,,all-compute-test,,1, 256M
ADMIN,6ec89780-bd95-4d59-815f-14873e46076c,cirros-gti-r06-oscompute-60,ERROR,,,all-compute-test,,1, 256M
ADMIN,81dd9d33-c092-4be7-8b3a-4277cf157ca9,cirros-gti-r06-oscompute-59,ERROR,,,all-compute-test,,1, 256M
ADMIN,a781aa52-b05a-4c47-a92b-f4f6eae19209,cirros-gti-r06-oscompute-58,ERROR,,,all-compute-test,,1, 256M
ADMIN,b50f5078-3103-4cd7-8691-814e30f94d51,cirros-gti-r05-oscompute-52,ERROR,,,all-compute-test,,1, 256M
ADMIN,5eafd9e2-0bf3-4573-968c-b82dbbf4988f,cirros-gti-r05-oscompute-54,ERROR,,,all-compute-test,,1, 256M
ADMIN,037c4ef9-0fc5-4aad-b002-d9f3fae73ea2,cirros-gti-r05-oscompute-48,ERROR,,,all-compute-test,,1, 256M
ADMIN,2d536391-9b3e-4764-ab3e-5229913cbe10,cirros-gti-r04-oscompute-42,ERROR,,,all-compute-test,,1, 256M
ADMIN,35a53ae7-105e-4b49-b22b-f2632a3c9c9b,cirros-gti-r04-oscompute-37,ERROR,,,all-compute-test,,1, 256M
ADMIN,75f7813d-e13f-4d41-93f9-ee88bd8184e2,cirros-gti-r04-oscompute-35,ERROR,,,all-compute-test,,1, 256M
ADMIN,d159b671-fd04-4a52-b11c-59c3ff3552dd,cirros-gti-r03-oscompute-30,ERROR,,,all-compute-test,,1, 256M
ADMIN,ced99fb6-54f7-4c25-b8b5-1650cfe35c28,cirros-gti-r03-oscompute-26,ERROR,,,all-compute-test,,1, 256M
ADMIN,f098b0b8-fd99-485f-b36f-727832b2990f,cirros-gti-r03-oscompute-23,ERROR,,,all-compute-test,,1, 256M
ADMIN,4411251f-96ab-499a-9274-6ba964ab84d5,cirros-gti-r02-oscompute-22,ERROR,,,all-compute-test,,1, 256M
ADMIN,aa6e4204-ab5a-4171-a716-97cee6775e47,cirros-gti-r02-oscompute-19,ERROR,,,all-compute-test,,1, 256M
ADMIN,5116e9c2-546e-476b-8c8c-6fbd67d7b49e,cirros-gti-r02-oscompute-17,ERROR,,,all-compute-test,,1, 256M
ADMIN,22476eae-d339-48a5-bc61-f00e1817c47e,cirros-gti-r02-oscompute-15,ERROR,,,all-compute-test,,1, 256M
ADMIN,6ca6c425-2b19-4d5b-a571-43a979446341,cirros-gti-r01-oscompute-07,ERROR,,,all-compute-test,,1, 256M
BRIMO-PROD,5fdc21a7-1c9b-4e6d-ad8d-74cbe48d2a9c,gti-brimo-prd-k8s-master-03,DELETED,,,brimo-k8s-master-8-32,gti-r01-oscompute-07,8,32G
BENCHMARK-TEST,5fdc21a7-1c9b-4e6d-ad8d-74cbe48d2a9c,gti-brimo-prd-k8s-master-03,DELETED,,,brimo-k8s-master-8-32,gti-r01-oscompute-07,8,32G
BENCHMARK-TEST,d59b69c2-69e3-4b6d-9172-b381f2fee22c,cbtool-test,ACTIVE,,benchmark-prod=192.168.0.150,flavor-kubernetes,gti-r05-oscompute-45,8,16G
DDB-TESTING,948e77a0-7a3a-477b-aa38-b18ed7fb0a35,devops-jumpbox-testing-1,ACTIVE,,"devops-backend-1-net=10.40.1.42, 172.18.218.189",c2-standard-8-1s,gti-r03-oscompute-30,8, 16G
DDB-TESTING,b7c33067-b9a9-4deb-861a-69678a33755b,devops-vpn_server-1,ACTIVE,,"devops-backend-1-net=10.40.1.225, 172.18.218.220",c2-standard-2,gti-r04-oscompute-37,2, 4G
DDB-TESTING,3ed53657-e0d7-449d-bdfb-52e339a5fc5e,briapi-devportal-01,ACTIVE,,"briapi-frontend-net-1=10.30.9.149, 172.18.216.250",c2-standard-2,gti-r06-oscompute-65,2, 4G
DDB-TESTING,b8b056ff-28ef-4023-8324-bcf93a2d398b,devops-proxy_server-01,ACTIVE,,devops-backend-1-net=10.40.1.119,c2-standard-2,gti-r06-oscompute-63,2, 4G
APP-DEV,76a33674-18be-4c21-a727-691e0222a5e3,node-cdp-dev3,ACTIVE,,"robot-dev-net=10.10.11.111, 172.18.227.63",nifi-64-500-1s,gti-r01-oscompute-03,8, 64G
APP-DEV,ba9c3717-28a9-4d30-935c-744170b8c7b6,node-cdp-dev2,ACTIVE,,"robot-dev-net=10.10.11.112, 172.18.226.186",nifi-64-500-1s,gti-r01-oscompute-03,8, 64G
APP-DEV,84461215-d252-4d71-b194-de2a671c5fcd,node-cdp-dev4,ACTIVE,,"robot-dev-net=10.10.11.117, 172.18.227.153",nifi-64-500-1s,gti-r01-oscompute-03,8, 64G
APP-DEV,873339a5-29bc-492c-864a-b2111793c62d,node-cdp-dev-5,ACTIVE,,"robot-dev-net=10.10.11.197, 172.18.226.147",nifi-64-500-1s,gti-r01-oscompute-03,8, 64G
