Project|ID|Name|Status|Power State|Networks|Flavor Name|Host|CPU|RAM
ddb-staging|e959f921-9524-4950-89cc-49043784db55|odc-k8s-stg-load_balancer_ingress-01|ACTIVE|Running|Prod_Network=172.28.221.25|c2-standard-4-1s|odc-r08-oscompute-18|4|8G
ddb-staging|a0ead3c6-68f4-425a-bc2e-2a03789f6f03|devops-rundeck-stg-odc-01|ACTIVE|Running|Prod_Network=172.28.221.27|c2-standard-8-1s|odc-r08-oscompute-18|8|16G
ddb-staging|f6088001-ebb0-4c14-95de-96ddde32cc17|btech_test_alert_ddb_staging_odc|SHUTOFF|Shutdown|Prod_Network=172.28.221.120; net-staging-devops=10.30.4.168|c2-standard-0-1s|odc-r08-oscompute-19|1|1G
ddb-development|3cd7e06c-7a80-485f-8632-137935e7daad|k8s-dev-ebpf-ingress-02|ACTIVE|Running|ddb-dev-ebpf-net=10.0.1.122, 172.28.224.101|c2-standard-8-1s|odc-r06-oscompute-42|8|16G
ddb-development|f5a08fce-08a8-471b-9501-23baac0a772c|k8s-dev-ebpf-nfs-server|ACTIVE|Running|ddb-dev-ebpf-net=10.0.1.124|c2-standard-2-1s|odc-r07-oscompute-30|2|4G
ddb-development|9ea2d965-1f90-4105-a018-7153d0a94fe1|k8s-dev-ebpf-ingress-03|ACTIVE|Running|ddb-dev-ebpf-net=10.0.1.123, 172.28.224.102|c2-standard-8-1s|odc-r06-oscompute-42|8|16G
ddb-development|73873b0a-2b90-4288-8a66-60681df1cd60|k8s-dev-ebpf-ingress-01|ACTIVE|Running|ddb-dev-ebpf-net=10.0.1.121, 172.28.224.100|c2-standard-8-1s|odc-r08-oscompute-17|8|16G
ddb-development|f6f0027b-822a-43ef-b9f0-44b95682a99a|k8s-dev-ebpf-worker-04|ACTIVE|Running|ddb-dev-ebpf-net=10.0.1.107|c2-standard-16-1s|odc-r08-oscompute-21|16|32G
ddb-development|816bb778-9547-4c2e-8b84-27908576a820|k8s-dev-ebpf-worker-03|ACTIVE|Running|ddb-dev-ebpf-net=10.0.1.106|c2-standard-16-1s|odc-r08-oscompute-21|16|32G
ddb-development|af0b766e-a75a-4207-bb58-630322ffee74|k8s-dev-ebpf-worker-02|ACTIVE|Running|ddb-dev-ebpf-net=10.0.1.105|c2-standard-16-1s|odc-r09-oscompute-09|16|32G
ddb-development|e0cea577-d477-4753-94df-97face0b3d59|k8s-dev-ebpf-worker-01|ACTIVE|Running|ddb-dev-ebpf-net=10.0.1.104|c2-standard-16-1s|odc-r09-oscompute-09|16|32G
ddb-development|f2a596cd-94b6-4569-9ba7-002f2199f2c0|k8s-dev-ebpf-master-03|ACTIVE|Running|ddb-dev-ebpf-net=10.0.1.103|c2-standard-8-1s|odc-r08-oscompute-17|8|16G
ddb-development|739e0468-d58c-4f4d-baae-319243dc56bc|k8s-dev-ebpf-master-02|ACTIVE|Running|ddb-dev-ebpf-net=10.0.1.102|c2-standard-8-1s|odc-r07-oscompute-30|8|16G
ddb-development|0b5355bb-9d6f-4fcd-913f-35d2cc7636bf|k8s-dev-ebpf-master-01|ACTIVE|Running|ddb-dev-ebpf-net=10.0.1.101|c2-standard-8-1s|odc-r08-oscompute-17|8|16G
ddb-staging|32be256d-0322-42a7-b072-cba0bc53843b|odc-k8s-stg-storage-nfs-01|ACTIVE|Running|k8s-staging-calico=192.168.224.9|n2-standard-8-1s|odc-r08-oscompute-16|8|32G
